subject;chapter;subchapter;question;options;correct_answer
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"What is a programming language?";""a) A set of rules for writing code"; "b) A way to communicate with computers"; "c) Both a and b"; "d) None of the above"";"c) Both a and b"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which of the following is NOT a programming language?";""a) Python"; "b) HTML"; "c) Java"; "d) CPU"";"b) HTML"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"What is the purpose of a programming language?";""a) To make it easy for humans to communicate with computers"; "b) To make code look fancy"; "c) To confuse programmers"; "d) To increase computer speed"";"a) To make it easy for humans to communicate with computers"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of programming language directly communicates with hardware?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) All of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of programming language is closer to human language?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is Assembly Language?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is C++?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"b) Mid-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is Python?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which language is considered to be more portable?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) All of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of language is suitable for system programming?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of language is a compromise between low-level and high-level languages?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"b) Mid-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of language is easier to learn and write?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of language requires a translator to convert code into machine language?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is C?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"b) Mid-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which level of language is closer to binary code?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which language allows for better abstraction of complex operations?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is suitable for artificial intelligence applications?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) All of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is used for writing device drivers?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is more human-readable?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is closer to machine code?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
